BACTON TO YELVERTON 0 Connection,1113
BACTON TO WISBECH NENE WEST ONE 562 Connection,1087
0,0
GREAT WILBRAHAM TO WHITWELL 0 Connection,997
MATCHING GREEN TO TILBURY 2 Connection,999
PETERBOROUGH TEE TO PETERBOROUGH PS 129 Connection,1031
BACTON TO ROUDHAM HEATH 902 Connection,1066
GREAT WILBRAHAM TO WHITWELL 330 Connection,997
SADDLEBOW TO KINGS LYNN PS 35 Connection,1079
TIXOVER TO BLABY 0 Connection,1059
BACTON TO YELVERTON 406 Connection,1113
AUDLEY TO ALREWAS TWO 0 Connection,1139
BLABY TO ALREWAS 0 Connection,1003
BLYBOROUGH TO BRIGG PS 0 Connection,1080
CALDECOTT TO CORBY POWER STATION 1 Connection,995
AUDLEY TO ALREWAS ONE 876 Connection,1043
HATTON TO GOSBERTON 396 Connection,1094
HATTON TO GOSBERTON 130 Connection,1094
DUDDINGTON TO CHURCHOVER 486 Connection,1144
SILK WILLOUGHBY TO STAYTHORPE PS 10 Connection,1057
GOSBERTON TO TYDD ST. GILES 280 Connection,1051
GOXHILL TO HATTON 1 Connection,1085
SHANGTON TO TUR LANGTON 19 Connection,1070
GOXHILL TO HATTON 312 Connection,1085
ASSELBY TO PANNAL 0 Connection,1022
YAFFORTH TO TOWTON 174 Connection,1007
BISHOP AUCKLAND TO PANNAL 694 Connection,1118
EASINGTON TO ASSELBY 4380 Connection,1098
PANNAL TO CAWOOD 2 Connection,1119
PAULL TO SALTEND 120 Connection,1056
ELTON TO PICKERING 532 Connection,1152
CAWOOD TO SUSWORTH TRENT WEST ONE 347 Connection,1284-1
YAFFORTH TO TOWTON 733 Connection,1007
BISHOP AUCKLAND TO PANNAL 0 Connection,1118
HADDINGTON TO SIMPRIM 720 Connection,1025
CORBRIDGE TO BISHOP AUCKLAND 210 Connection,1065
LITTLE BURDON TO BILLINGHAM 264 Connection,1108
ELTON TO PICKERING 0 Connection,1152
SIMPRIM TO CORBRIDGE 706 Connection,1073
SPROATLEY TO ALDBROUGH 401 Connection,1097
PLUMPTON HEAD TO LUPTON 521 Connection,1120
LITTLE BURDON TO BILLINGHAM 0 Connection,1108
PLUMPTON HEAD TO LUPTON 381 Connection,1120
0,0
0,0
COWPEN BEWLEY TO YAFFORTH ONE 448 Connection,1281-1
LONGTOWN TO BISHOP AUCKLAND 674 Connection,1055
LONGTOWN TO GRAYRIGG 1162 Connection,1142
HORNDON TO TILBURY THAMES NORTH 2 Connection,1061
ROXWELL TO LUXBOROUGH LANE 388 Connection,1127
WHITWELL TO PETERS GREEN 77 Connection,1114
