Offtake Point (Licence Name),Latitude,Longitude,Data Item Viewer Name,Type of Offtake,NTS Exit Area,NTS Exit Zone,Linepack Zone,Closest Connection,Closest Pipe ID
Bacton,52.85443098,1.46089155,,GDN (EA),East,E18,8,BACTON TO YELVERTON 0 Connection,1113
Brisley,52.76603091,0.87814288,,GDN (EA),East,E13,5,BACTON TO WISBECH NENE WEST ONE 562 Connection,1087
Cambridge,#VALUE!,#VALUE!,,GDN (EA),,,,0,0
Great Wilbraham,52.18456636,0.270338029,,GDN (EA),East,E08,8,GREAT WILBRAHAM TO WHITWELL 0 Connection,997
Matching Green,51.78277179,0.219979659,,GDN (EA),East,E10,10,MATCHING GREEN TO TILBURY 2 Connection,999
Peterborough Eye,52.57576614,-0.200458517,,GDN (EA),Central,E05,5,PETERBOROUGH TEE TO PETERBOROUGH PS 129 Connection,1031
Roudham Heath,52.46049641,0.841981154,,GDN (EA),East,E08,8,BACTON TO ROUDHAM HEATH 902 Connection,1066
Royston,52.03290968,-0.010426712,,GDN (EA),East,E08,8,GREAT WILBRAHAM TO WHITWELL 330 Connection,997
West Winch,52.72610888,0.378914579,,GDN (EA),East,E13,5,SADDLEBOW TO KINGS LYNN PS 35 Connection,1079
Whitwell,52.60032753,-0.558308459,,GDN (EA),East,E08,8,TIXOVER TO BLABY 0 Connection,1059
Yelverton,52.58354577,1.380698437,,GDN (EA),East,E09,9,BACTON TO YELVERTON 406 Connection,1113
Alrewas,52.74021612,-1.775106267,,GDN (EM),Central,E12,4,AUDLEY TO ALREWAS TWO 0 Connection,1139
Blaby,52.54598408,-1.17728498,,GDN (EM),Central,E05,5,BLABY TO ALREWAS 0 Connection,1003
Blyborough,53.44445483,-0.58161699,,GDN (EM),Central,E11,3,BLYBOROUGH TO BRIGG PS 0 Connection,1080
Caldecott,52.54299981,-0.719830985,,GDN (EM),Central,E05,5,CALDECOTT TO CORBY POWER STATION 1 Connection,995
Drointon,52.74000026,-1.774846543,,GDN (EM),Central,E12,4,AUDLEY TO ALREWAS ONE 876 Connection,1043
Gosberton,52.88607104,-0.106742682,,GDN (EM),Central,E15,7,HATTON TO GOSBERTON 396 Connection,1094
Kirkstead,53.14400048,-0.252475542,,GDN (EM),Central,E15,7,HATTON TO GOSBERTON 130 Connection,1094
Market Harborough,52.49929888,-0.92919987,,GDN (EM),Central,E05,5,DUDDINGTON TO CHURCHOVER 486 Connection,1144
Silk Willoughby,52.98003463,-0.387292307,,GDN (EM),Central,E05,5,SILK WILLOUGHBY TO STAYTHORPE PS 10 Connection,1057
Sutton Bridge,52.72326779,0.164681077,,GDN (EM),Central,E15,7,GOSBERTON TO TYDD ST. GILES 280 Connection,1051
Thornton Curtis,53.69252148,-0.282928273,,GDN (EM),North,E11,3,GOXHILL TO HATTON 1 Connection,1085
Tur Langton,52.55290532,-0.94839713,,GDN (EM),Central,E05,5,SHANGTON TO TUR LANGTON 19 Connection,1070
Walesby,53.42221618,-0.272044354,,GDN (EM),Central,E11,3,GOXHILL TO HATTON 312 Connection,1085
Asselby,53.737022,-0.939939442,,GDN (NE),North,E03,3,ASSELBY TO PANNAL 0 Connection,1022
Baldersby,54.22450724,-1.419054888,,GDN (NE),North,E03,3,YAFFORTH TO TOWTON 174 Connection,1007
Burley Bank,54.00428352,-1.602649055,,GDN (NE),North,E03,3,BISHOP AUCKLAND TO PANNAL 694 Connection,1118
Ganstead,53.8147688,-0.235665281,,GDN (NE),North,E03,3,EASINGTON TO ASSELBY 4380 Connection,1098
Pannal,53.95230966,-1.617592619,,GDN (NE),North,E03,3,PANNAL TO CAWOOD 2 Connection,1119
Paull,53.74114289,-0.232850846,,GDN (NE),North,E03,3,PAULL TO SALTEND 120 Connection,1056
Pickering,54.2353496,-0.762520795,,GDN (NE),North,E03,3,ELTON TO PICKERING 532 Connection,1152
Rawcliffe,53.69452372,-0.911712604,,GDN (NE),North,E03,3,CAWOOD TO SUSWORTH TRENT WEST ONE 347 Connection,1284-1
Towton,53.86343424,-1.305146694,,GDN (NE),North,E03,3,YAFFORTH TO TOWTON 733 Connection,1007
Bishop Auckland,54.67138019,-1.566847585,,GDN (NO),North,E03,3,BISHOP AUCKLAND TO PANNAL 0 Connection,1118
Coldstream,55.67065459,-2.220684073,,GDN (NO),North,E02,1,HADDINGTON TO SIMPRIM 720 Connection,1025
Corbridge,54.95942521,-1.948578716,,GDN (NO),North,E02,2,CORBRIDGE TO BISHOP AUCKLAND 210 Connection,1065
Cowpen Bewley,54.5989719,-1.261854428,,GDN (NO),North,E03,3,LITTLE BURDON TO BILLINGHAM 264 Connection,1108
Elton,54.55289053,-1.40115491,,GDN (NO),North,E03,3,ELTON TO PICKERING 0 Connection,1152
Guyzance,55.32629698,-1.700285235,,GDN (NO),North,E02,2,SIMPRIM TO CORBRIDGE 706 Connection,1073
Humbleton,53.79857018,-0.145387926,,GDN (NO),North,E02,1,SPROATLEY TO ALDBROUGH 401 Connection,1097
Keld,54.5184604,-2.666836645,,GDN (NO),North,E01,1,PLUMPTON HEAD TO LUPTON 521 Connection,1120
Little Burdon,54.55110941,-1.494083118,,GDN (NO),North,E03,3,LITTLE BURDON TO BILLINGHAM 0 Connection,1108
Melkinthorpe,54.59454406,-2.674451533,,GDN (NO),North,E01,1,PLUMPTON HEAD TO LUPTON 381 Connection,1120
Saltwick Pressure Controlled,#VALUE!,#VALUE!,,GDN (NO),North,E02,1,0,0
Saltwick Volumetric Controlled,#VALUE!,#VALUE!,,GDN (NO),North,E02,1,0,0
Thrintoft,54.33844536,-1.484032384,,GDN (NO),North,E03,3,COWPEN BEWLEY TO YAFFORTH ONE 448 Connection,1281-1
Towlaw,54.78308083,-1.890999936,,GDN (NO),North,E01,1,LONGTOWN TO BISHOP AUCKLAND 674 Connection,1055
Wetheral,54.89495154,-2.845568273,,GDN (NO),North,E01,1,LONGTOWN TO GRAYRIGG 1162 Connection,1142
Horndon,51.52933566,0.393326624,,GDN (NT),East,E09,9,HORNDON TO TILBURY THAMES NORTH 2 Connection,1061
Luxborough Lane,51.61571227,0.062717127,,GDN (NT),East,E10,9,ROXWELL TO LUXBOROUGH LANE 388 Connection,1127
Peters Green,51.85675075,-0.36079031,,GDN (NT),East,E08,8,WHITWELL TO PETERS GREEN 77 Connection,1114
Peters Green South Mimms,51.88303519,-0.295193227,,GDN (NT),East,E08,8,WHITWELL TO PETERS GREEN 3 Connection,1114
Winkfield,51.44921969,-0.688756004,,GDN (NT),East,E16,7,NUFFIELD TO WINKFIELD 491 Connection,1049
Audley,53.05785883,-2.35529551,,GDN (NW),Central,E12,4,WARBURTON TO AUDLEY TWO 627 Connection,1017
Blackrod,53.60202952,-2.597963933,,GDN (NW),North,E04,4,SAMLESBURY TO BLACKROD 0 Connection,1140
Ecclestone,53.61961025,-2.750757647,,GDN (NW),North,E04,4,TREALES TO BURSCOUGH 335 Connection,1075
Holmes Chapel,53.20128945,-2.385779315,,GDN (NW),North,E04,4,WARBURTON TO AUDLEY TWO 343 Connection,1017
Lupton,54.2175077,-2.652054605,,GDN (NW),North,E04,4,BARROW TO LUPTON 803 Connection,1060
Malpas,53.02654411,-2.833150384,,GDN (NW),Central,E12,4,SHOCKLACH TO WESTON POINT 5 Connection,1038
Mickle Trafford,53.22347232,-2.821248625,,GDN (NW),North,E04,4,BRIDGE FARM TO MICKLE TRAFFORD 470 Connection,1069
Partington,53.42211487,-2.411283982,,GDN (NW),North,E04,4,WARBURTON TO PARTINGTON 65 Connection,1093
Samlesbury,53.75175861,-2.636491408,,GDN (NW),North,E04,4,SAMLESBURY TO BLACKROD 355 Connection,1140
Warburton,53.4090024,-2.482456208,,GDN (NW),North,E04,4,BRETHERTON TO WARBURTON 555 Connection,1103
Weston Point,53.31462443,-2.717170246,,GDN (NW),North,E04,4,SHOCKLACH TO WESTON POINT 622 Connection,1038
Aberdeen,57.13682874,-2.383099662,,GDN (SC),North,E00,0,ABERDEEN TO KIRRIEMUIR THREE 2 Connection,1110
Armadale,55.91836067,-3.744028434,,GDN (SC),North,E02,1,BATHGATE TO PENICUIK 0 Connection,1034
Balgray,56.54967363,-2.95175581,,GDN (SC),North,E00,0,KIRRIEMUIR TO BATHGATE THREE 317 Connection,1146
Bathgate,55.91785855,-3.744387102,,GDN (SC),North,E01,1,BATHGATE TO PENICUIK 1 Connection,1034
Broxburn,55.92172244,-3.455414104,,GDN (SC),North,E02,1,BATHGATE TO PENICUIK 186 Connection,1034
