name,				nameRegex,						idRegex,						filenameTemplate,			IRITemplate,						isSIUnit,	abbrPair,	isBooleanValue,type
OLA_RH1,			.*VAV_S7_07_RoomHumidity.*,		1,								OLA_RH_sensor%s.owl,		V_OLA_RelativeHumidity,				1,			0,			0,				5	
OLA_RH2,			.*VAV_S7_09_RoomHumidity.*,		2,								OLA_RH_sensor%s.owl,		V_OLA_RelativeHumidity,				1,			0,			0,				5	
OLA_RH3,			.*VAV_S7_12_RoomHumidity.*,		3,								OLA_RH_sensor%s.owl,		V_OLA_RelativeHumidity,				1,			0,			0,				5	
OLA_RH4,			.*VAV_S7_14_RoomHumidity.*,		4,								OLA_RH_sensor%s.owl,		V_OLA_RelativeHumidity,				1,			0,			0,				5	
OLA_RT1,			.*VAV_S7_07_RoomTemp.*,			1,								OLA_RT_sensor%s.owl,		V_OLA_Temperature,					1,			0,			0,				5	
OLA_RT2,			.*VAV_S7_09_RoomTemp.*,			2,								OLA_RT_sensor%s.owl,		V_OLA_Temperature,					1,			0,			0,				5	
OLA_RT3,			.*VAV_S7_12_RoomTemp.*,			3,								OLA_RT_sensor%s.owl,		V_OLA_Temperature,					1,			0,			0,				5	
OLA_RT4,			.*VAV_S7_14_RoomTemp.*,			4,								OLA_RT_sensor%s.owl,		V_OLA_Temperature,					1,			0,			0,				5	
Supply_Pressure,<Supply_Pressure>,[a-zA-Z][0-9]*-[0-9],MAU-%s_D12P_sensor1.owl,V_SupplyPressureD12OfMAU-%s,0,0,0,3
VSD_Speed_Cmd,<VSD_Speed_Cmd>,[a-zA-Z][0-9]*-[0-9],MAU-Fan-%s_VSDC_sensor1.owl,V_VSDControlOfMAU-Fan-%s,0,0,0,3
Outside_Air_Temp,<Outside_Air_Temp>,[a-zA-Z][0-9]*-[0-9],MAU-%s_OAT_sensor1.owl,V_OutsideTemperatureOfMAU-%s,0,0,0,3
Outside_Air_Humidity,<Outside_Air_Humidity>,[a-zA-Z][0-9]*-[0-9],MAU-%s_OAH_sensor1.owl,V_OutsideRelativeHumidityOfMAU-%s,0,0,0,3
Trip,<Trip>,[a-zA-Z][0-9]*-[0-9],MAU-Fan-%s_TripAlarm_sensor1.owl,V_TripAlarmStatOfMAU-Fan-%s,0,0,0,3
BTU_CHWST,<BTU_CHW_Sup_Temp>,[a-zA-Z][0-9]*-[0-9],MAU-%s_CHWST_sensor1.owl,V_CHWSTemperatureP1OfMAU-%s,0,0,0,3
BTU_CHWRT,<BTU_CHW_Ret_Temp>,[a-zA-Z][0-9]*-[0-9],MAU-%s_CHWRT_sensor1.owl,V_CHWRTemperatureP8OfMAU-%s,0,0,0,3
RoomTemp,			<Room_Temp>,					roomItem,						%s_RT_sensor1.owl,			V_%s_Temperature,					1,			1,			0,				0
RoomTemp_Sensor1,	<Room_Temp_Sensor_1>,			roomItem,						%s_RT_sensor1.owl,			V_%s_Temperature,					1,			1,			0,				0
