Time,ActivePower,ReactivePower
0,126.84266,63.42133
0,126.84266,63.42133
0,126.84266,63.42133
0.1,126.84267,63.421335
0.2,126.84267,63.421335
0.3,126.84267,63.421335
0.4,126.84267,63.421335
0.5,126.84267,63.421335
0.6,126.84267,63.421335
0.7,126.84267,63.421335
0.8,126.84267,63.421335
0.9,126.84267,63.421335
1,126.84267,63.421335
1.1,126.84267,63.421335
1.2,126.84267,63.421335
1.3,126.84267,63.421335
1.4,126.84267,63.421335
1.5,126.84267,63.421335
1.6,126.84267,63.421335
1.7,126.84267,63.421335
1.8,126.84267,63.421335
1.9,126.84267,63.421335
2,126.84267,63.421335
2.1,126.84267,63.421335
2.2,126.84267,63.421335
2.3,126.84267,63.421335
2.4,126.84267,63.421335
2.5,126.84267,63.421335
2.6,126.84267,63.421335
2.7,126.84267,63.421335
2.8,126.84267,63.421335
2.9,126.84267,63.421335
3,126.84267,63.421335
3.1,126.84267,63.421335
3.2,126.84267,63.421335
3.3,126.84267,63.421335
3.4,126.84267,63.421335
3.5,126.84267,63.421335
3.6,126.84267,63.421335
3.7,126.84267,63.421335
3.8,126.84267,63.421335
3.9,126.84267,63.421335
4,126.84267,63.421335
4.1,126.84267,63.421335
4.2,126.84267,63.421335
4.3,126.84267,63.421335
4.4,126.84267,63.421335
4.5,126.84267,63.421335
4.6,126.84267,63.421335
4.7,126.84267,63.421335
4.8,126.84267,63.421335
4.9,126.84267,63.421335
5,126.84267,63.421335
5.1,126.84267,63.421335
5.2,126.84267,63.421335
5.3,126.84267,63.421335
5.4,126.84267,63.421335
5.5,126.84267,63.421335
5.6,126.84267,63.421335
5.7,126.84267,63.421335
5.8,126.84267,63.421335
5.9,126.84267,63.421335
6,126.84267,63.421335
6.1,126.84267,63.421335
6.2,126.84267,63.421335
6.3,126.84267,63.421335
6.4,126.84267,63.421335
6.5,126.84267,63.421335
6.6,126.84267,63.421335
6.7,126.84267,63.421335
6.8,126.84267,63.421335
6.9,126.84267,63.421335
7,126.84267,63.421335
7.1,126.84267,63.421335
7.2,126.84267,63.421335
7.3,126.84267,63.421335
7.4,126.84267,63.421335
7.5,126.84267,63.421335
7.6,126.84267,63.421335
7.7,126.84267,63.421335
7.8,126.84267,63.421335
7.9,126.84267,63.421335
8,126.84267,63.421335
8.1,126.84267,63.421335
8.2,126.84267,63.421335
8.3,126.84267,63.421335
8.4,126.84267,63.421335
8.5,126.84267,63.421335
8.6,126.84267,63.421335
8.7,126.84267,63.421335
8.8,126.84267,63.421335
8.9,126.84267,63.421335
9,126.84267,63.421335
