Terms,CaseGroup_Case_var4,CaseGroup_Case_var5,CaseGroup_Case_var6
Constant,0.38,1.5,2.5600000000000001
Order,3,1,4
(3/2)^0.5*x_0,-0.10246231603798919,-0.20812657945216548,-0.71723621226592416
(3/2)^0.5*x_1,0,0.31367225222277928,0.95744156080174248
(3/2)^0.5*x_2,0,0,0
(5/2)^0.5*(-0.5+1.5*x_0^2),0,,0
(5/2)^0.5*(-0.5+1.5*x_1^2),0,,0
(5/2)^0.5*(-0.5+1.5*x_2^2),0,,0
(7/2)^0.5*(-1.5*x_0+2.5*x_0^3),0,,0
(7/2)^0.5*(-1.5*x_1+2.5*x_1^3),0.37442371890188419,,0
(7/2)^0.5*(-1.5*x_2+2.5*x_2^3),0,,0
Interaction Order,,,0
,,,-0.85073032574186969
,,,0
