Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
DesignOfExperiment,Class,,,,,,A procedure to plan and define the conditions for performing controlled experimental trials. [doi:10.1016/j.compchemeng.2017.05.010],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
Strategy,Class,,,,,,A method to propose conditions for controlled experimental trials. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
TSEMO,Class,Strategy,IS-A,,,,"""Thompson sampling efficient multiobjective optimization"" strategy proposed in paper doi:10.1007/s10898-018-0609-2.",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
LHS,Class,Strategy,IS-A,,,,"""Latin hypercube sampling"" strategy.",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
Criterion,Class,,,,,,Criterion is used to construct the LHS design. It tells LHS how to sample the points. [Surrogate Modeling Toolbox],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
Center,Class,Criterion,IS-A,,,,A criterion that centers the points within the sampling intervals. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
Maximum,Class,Criterion,IS-A,,,,"A criterion maximises the minimum distance between points, but places the point in a randomised location within its interval. ",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
CenterMaximum,Class,Criterion,IS-A,,,,"A criterion same as the criterion ""Maximin"", but centered within the intervals. ",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
Correlation,Class,Criterion,IS-A,,,,A criterion minimises the maximum correlation coefficient. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
Domain,Class,,,,,,The space bounded by the upper and lower limits of a set of design variables. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
DesignVariable,Class,,,,,,A variable to be defined for controlled experimental trials. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
ContinuousVariable,Class,DesignVariable,IS-A,,,,A design variable that is continuous in domain. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
CategoricalVariable,Class,DesignVariable,IS-A,,,,A design variable that is discrete in domain. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
SystemResponse,Class,,,,,,The outcome collected during controlled experimental trails. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
HistoricalData,Class,,,,,,A complete recording of controlled experimental trails done in the past. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
NewExperiment,Class,,,,,,The conditions of controlled experimental trails due to be executed. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
usesStrategy,Object Property,,,DesignOfExperiment,Strategy,exactly 1,A relation between a design of experiment exercise and the strategy it uses. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
hasDomain,Object Property,,,DesignOfExperiment,Domain,exactly 1,A relation between a design of experiment exercise and the domain where it is constrained.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
hasDesignVariable,Object Property,,,Domain,DesignVariable,minimum 1,A relation between a domain and the design variable it consists of. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
hasSystemResponse,Object Property,,,DesignOfExperiment,SystemResponse,minimum 1,A relation between a design of experiment exercise and the system response it collects. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
utilisesHistoricalData,Object Property,,,DesignOfExperiment,HistoricalData,exactly 1,A relation between a design of experiment exercise and any historical data it utilised. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
proposesNewExperiment,Object Property,,,DesignOfExperiment,NewExperiment,only,A relation between a design of experiment exercise and the new experiment it defines. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
refersTo,Object Property,,,ContinuousVariable UNION SystemResponse,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,exactly 1,A relation between a continuous variable/a system response in a design of experiment exercise and the dimensional quantity it refers to. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
refersTo,Object Property,,,HistoricalData UNION NewExperiment,http://www.theworldavatar.com/ontology/ontorxn/OntoRxn.owl#ReactionExperiment,only,A relation between previous experiment records/future experiment conditions and the reaction experiment it refers to. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
upperLimit,Data property,,,ContinuousVariable,float,,An attribute indicates the upper limit of a continuous variable. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
lowerLimit,Data property,,,ContinuousVariable,float,,An attribute indicates the lower limit of a continuous variable. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
positionalID,Data property,,,ContinuousVariable UNION SystemResponse,int,,An attribute to provide unique identification of a design variable within a domain or a system response within a design of experiment exercise. It should be used when multiple design variables in one domain or multiple system responses within one design of experiment exercise are instantiated from the same concept. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
maximise,Data property,,,SystemResponse,boolean,,An attribute to indicate the direction of the optimisation of a system response in a design of experiment exercise. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
nRetries,Data property,,,TSEMO,int,,Number of retries to use for spectral sampling iF the singular value decomposition fails. Retrying chooses a new Monte Carlo sampling which usually fixes the problem. Defualt is 10. [https://gosummit.readthedocs.io/en/latest/strategies.html#tsemo],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
nSpectralPoints,Data property,,,TSEMO,int,,Number of spectral points used in spectral sampling. Default is 1500. Note that the Matlab TSEMO version uses 4000 which will improve accuracy but significantly slow down optimisation speed. [https://gosummit.readthedocs.io/en/latest/strategies.html#tsemo],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
nGenerations,Data property,,,TSEMO,int,,Number of generations used in the internal optimisation with NSGAII. Default is 100. [https://gosummit.readthedocs.io/en/latest/strategies.html#tsemo],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
populationSize,Data property,,,TSEMO,int,,Population size used in the internal optimisation with NSGAII. Default is 100. [https://gosummit.readthedocs.io/en/latest/strategies.html#tsemo],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
seed,Data property,,,LHS,int,,An attribute indicates the random state of LHS sampling. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontodoe/OntoDoE.owl
