Source,Type,Target,Relation,Value,Data Type
ABoxOntoSpecies,Ontology,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,http://www.w3.org/2002/07/owl#imports,,
ABoxOntoSpecies,Ontology,http://www.theworldavatar.com/kb/ontospecies,base,,
Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,Instance,Species,,,
http://purl.org/dc/elements/1.1/identifier,Data Property,Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,,Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,String
http://www.w3.org/2000/01/rdf-schema#label,Data Property,Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,,CO2,String
http://www.w3.org/2004/02/skos/core#altLabel,Data Property,Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,,Carbon dioxide,String
http://www.w3.org/2004/02/skos/core#altLabel,Data Property,Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,,Dry ice,String
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#casRegistryID,Data Property,Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,,124-38-9,String
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#SMILES,Data Property,Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,,C(=O)=O,String
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#hasAtomicBond,Data Property,Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,,1 2 2 1 3 2,String
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#hasGeometry,Data Property,Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,,C 17.0000 10.0000 0.0000 O 18.0221 10.5679 0.0000 O 15.9779 9.4321 0.0000,String
Atom_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,Instance,http://purl.org/gc/Atom,,,
Species_00b7e248-ae24-35bf-b7a0-b470b923ddf6,Instance,Atom_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,http://purl.org/gc/hasAtom,,
hasCanonicalPosition,Data Property,Atom_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,,1,Integer
Atom_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,Instance,http://www.daml.org/2003/01/periodictable/PeriodicTable.owl#C,http://purl.org/gc/isElement,,
AtomCoordinateX_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,Instance,http://purl.org/gc/FloatValue,,,
Atom_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,Instance,AtomCoordinateX_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,http://purl.org/gc/hasAtomCoordinateX,,
http://purl.org/gc/hasValue,Instance,AtomCoordinateX_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,,17,String
AtomCoordinateX_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,Instance,http://data.nasa.gov/qudt/owl/unit#Angstrom,http://purl.org/gc/hasUnit,,
AtomCoordinateY_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,Instance,http://purl.org/gc/FloatValue,,,
Atom_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,Instance,AtomCoordinateY_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,http://purl.org/gc/hasAtomCoordinateY,,
http://purl.org/gc/hasValue,Instance,AtomCoordinateY_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,,10,String
AtomCoordinateY_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,Instance,http://data.nasa.gov/qudt/owl/unit#Angstrom,http://purl.org/gc/hasUnit,,
AtomCoordinateZ_00b7e248-ae24-35bf-b7a0-b470b923ddf6_C_1,Instance,http://purl.org/gc/FloatValue,,,
