Source,Type,Target,Relation,Domain,Range,Source definition,Definition language
Experiment,Class,,,,,,
Apparatus,Class,,,,,,
Copyright,Class,,,,,,
BibliographyReference,Class,,,,,,
ExperimentCondition,Class,,,,,,
Mode,Class,,,,,,
InitialComposition,Class,ExperimentCondition,IS-A,,,,
Species,Class,,,,,,
Result,Class,,,,,,
IgnitionDelay,Class,Result,IS-A,,,,
IgnitionDelaySpecification,Class,,,,,,
SpeciesProfile,Class,Result,IS-A,,,,
SpeciesProfileSpecification,Class,,,,,,
InitialAndPost-shockConditions,Class,Result,IS-A,,,,
InitialAndPost-shockConditionsSpecification,Class,,,,,,
SootYield,Class,Result,IS-A,,,,
SootYieldSpecification,Class,,,,,,
hasResult,Object Property,,,Experiment,Result,,
hasBibliographyReference,Object Property,,,Experiment,BibliographyReference,,
isUsingMode,Object Property,,,Apparatus,Mode,,
isDoneIn,Object Property,,,Experiment,Apparatus,,
hasCopyright,Object Property,,,Experiment,Copyright,,
hasExperimentCondition,Object Property,,,Experiment,ExperimentCondition,,
hasSpecies,Object Property,,,InitialComposition,Species,,
hasIgnitionDelaySpecification,Object Property,,,IgnitionDelay,IgnitionDelaySpecification,,
hasInitialComposition,Object Property,,,ExperimentCondition,InitialComposition,,
hasIgnitionDelaySpecification,Object Property,,,IgnitionDelay,IgnitionDelaySpecification,,
hasSpeciesProfileSpecification,Object Property,,,SpeciesProfile,SpeciesProfileSpecification,,
hasInitialAndPost-shockConditionsSpecification,Object Property,,,InitialAndPost-shockConditions UNION SootYield,InitialAndPost-shockConditionsSpecification,,
hasSootYieldSpecification,Object Property,,,SootYield,SootYieldSpecification,,
hasPrimeID,Data Property,,,BibliographyReference UNION Species,String,,
hasDiameterOfHighPressureSectionInStainlessSteelShockTube,Data Property,,,Apparatus,Float,,
hasDiameterOfHighPressureSectionInStainlessSteelShockTubeUnit,Data Property,,,Apparatus,String,,
hasDiameterOfLowPressureSectionInStainlessSteelSchockTube,Data Property,,,Apparatus,Float,,
hasDiameterOfLowPressureSectionInStainlessSteelSchockTubeUnit,Data Property,,,Apparatus,String,,
hasDiameterOfPyrexShockTube,Data Property,,,Apparatus,Float,,
hasDiameterOfPyrexShockTubeUnit,Data Property,,,Apparatus,String,,
hasLengthOfHighPressureSectionInPyrexShockTube,Data Property,,,Apparatus,Float,,
hasLengthOfHighPressureSectionInPyrexShockTubeUnit,Data Property,,,Apparatus,String,,
hasLengthOfHighPressureSectionInStainlessSteelShockTube,Data Property,,,Apparatus,Float,,
hasLengthOfHighPressureSectionInStainlessSteelShockTubeUnit,Data Property,,,Apparatus,String,,
hasLengthOfLowPressureSectionInPyrexShockTube,Data Property,,,Apparatus,Float,,
hasLengthOfLowPressureSectionInPyrexShockTubeUnit,Data Property,,,Apparatus,String,,
hasLengthOfLowPressureSectionInStainlessSteelShockTube,Data Property,,,Apparatus,Float,,
hasLengthOfLowPressureSectionInStainlessSteelShockTubeUnit,Data Property,,,Apparatus,String,,
hasDrivenSectionLengthUnit,Data Property,,,Apparatus,String,,
