Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
GasNetworkSystemRealization,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/technical_system.owl#SystemRealization,IS-A,,,,GasNetworkSystemRealization,"
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl"
GasNetworkSystem,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#NetworkSystem,IS-A,,,,GasNetworkSystem,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
GridPipeline,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,IS-A,,,,GridPipeline,"
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl"
GridComponent,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,IS-A,,,,GridComponent,"
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl"
GasPipelineStart,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,IS-A,,,,GasPipelineStart,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
GasPipelineEnd,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,IS-A,,,,GasPipelineEnd,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
GasPipelineTube,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,IS-A,,,,GasPipelineTube,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
hasDiameter,Data Property,,,GasPipelineTube,String,,The diameter of gas pipeline,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
hasObjectId,Data Property,,,GridPipeline,String,,The object id for each individual pipeline,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
hasLatitude,Data Property,,,http://www.w3.org/2002/07/owl#Thing,String,,"Geographical latitude of gird component, pipeline start, and pipeline end.",http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
