id,yp,xp,Dp,rhop
p1,1.296266667,103.7115833,712.1361,0.007485401
p2,1.282033333,103.6740333,0,0.006668581
p3,1.2841,103.7252,0,0.006205549
p4,1.25415,103.7028,0,0.011690333
p5,1.279483333,103.7271667,0,0.012190521
p6,1.280333333,103.7189667,0,0.005442948
p7,1.268,103.7039667,0,-0.000388511
p8,1.270916667,103.6850333,0,0.003770509
p9,1.280333333,103.7189667,0,0.008677964
p10,1.268,103.7039667,0,0.009718
p11,1.270916667,103.6850333,0,0.00617397
p12,1.285616667,103.72075,0,0.006959033
p13,1.274633333,103.7235167,0,0.007454441
p14,1.277083333,103.71325,0,0.009609689
p15,1.270766667,103.7169333,0,0.008064423
p16,1.26755,103.7035667,0,0.004528287
p17,1.261016667,103.7002333,0,0.007605486
p18,1.2715,103.684,0,0.003812197
p19,1.250616667,103.6823833,0,0.003573559
p20,1.266766667,103.6660167,0,0.004171692
p21,1.285616667,103.72075,0,0.005039322
p22,1.274633333,103.7235167,0,0.011043787
p23,1.277083333,103.71325,0,0.010473787
p24,1.270766667,103.7169333,0,0.005690386
p25,1.26755,103.7035667,0,0.000603996
p26,1.261016667,103.7002333,0,0.00926035
p27,1.2715,103.684,0,0.011793841
p28,1.250616667,103.6823833,0,-0.000218014
p29,1.266766667,103.6660167,0,0.008892094
p30,1.285116667,103.7200667,12.9727,0.007754067
p31,1.283183333,103.7203167,0.827,0.007054093
p32,1.2828,103.7195,0,0.002337217
p33,1.2857,103.7214667,2.4662,0.001247462
p34,1.286233333,103.7234333,5.3781,0.018156298
p35,1.286208333,103.7205417,10.3088,0.010930267
p36,1.2868,103.7203333,0,0.014536733
p37,1.289566667,103.7197833,1.1402,1.14E-02
p38,1.288583333,103.7205167,4.7294,0.003335244
p39,1.287733333,103.7208833,0.5468,0.006605666
p40,1.2866,103.7208833,2.8469,3.63E-03
p41,1.29025,103.71865,1.6082,3.56E-03
p42,1.289766667,103.7176,0,0.005399051
p43,1.290716667,103.7135,2.1946,0.0150619
p44,1.291166667,103.70955,1.6542,0.010472324
p45,1.290133333,103.7111,175.2136,0.003342207
p46,1.2751,103.7230167,3.2148,0.013406633
p47,1.275933333,103.72225,0,0.002649882
p48,1.276383333,103.7218333,2.4746,0.009814504
p49,1.27715,103.721,0,0.009415183
p50,1.279266667,103.7189167,0,0.006568418
p51,1.279683333,103.71925,7.949,0.011443438
p52,1.273233333,103.722,3.8198,0.013583153
p53,1.27255,103.72135,2.5659,7.98E-03
p54,1.271983333,103.72085,0,0.007743054
p55,1.2711,103.7200167,0,0.004537958
p56,1.27065,103.7204333,2.5912,0.002961188
p57,1.270583333,103.7236167,0,0.012246501
p58,1.274183333,103.724,2.316,0.013426349
p59,1.276466667,103.73005,27.5514,0.012482494
p60,1.276466667,103.73005,0,0.007358975
p61,1.272333333,103.7347167,0,0.010170085
p62,1.278516667,103.7317167,9.3435,6.04E-03
p63,1.275088889,103.7316056,25.9246,6.60E-03
p64,1.273711111,103.7331611,24.263,0.0121477
p65,1.281466667,103.72685,4.3834,0
p66,1.27745,103.71285,2.5638,0.003180956
p67,1.2789,103.7118167,2.4602,0.002477305
p68,1.278166667,103.71455,0,0.009598754
p69,1.2778,103.7160333,0,0.003195235
p70,1.278466667,103.71725,2.9482,0.003166993
p71,1.27925,103.7166833,8.7748,0.014710054
p72,1.276383333,103.7138667,0,0.01197813
p73,1.276166667,103.7134667,3.9036,0.010389834
p74,1.275216667,103.7142167,0,0.006967329
p75,1.27395,103.7150167,2.4823,0
p76,1.273283333,103.7157,3.0774,0.008934507
p77,1.272966667,103.71645,2.5249,0.005085262
p78,1.276283333,103.7120833,0,0.004097845
p79,1.276916667,103.7113333,0,0.00998913
p80,1.27575,103.7109833,3.8778,0
p81,1.274766667,103.7098167,0,0.008717133
p82,1.271266667,103.7151333,4.7886,0.008609299
p83,1.273016667,103.71015,0.7427,0.003667614
p84,1.270616667,103.7174,22.0508,0.012007712
p85,1.26285,103.709,0.8475,0.005752891
p86,1.266016667,103.72735,4.3614,0.005607195
p87,1.265866667,103.7275,0,0.008926831
p88,1.2669,103.7250333,29.4431,0.005096248
p89,1.266966667,103.7165,9.9233,0.008972632
p90,1.265033333,103.7154667,16.0337,0.007766511
p91,1.263366667,103.7250833,0,0.000709871
p92,1.2631,103.7247667,0,8.65E-03
p93,1.269266667,103.70505,178.195,0.007582232
p94,1.269933333,103.7064,122.6844,0.01320966
p95,1.2691,103.707,3.4226,0.004160805
p96,1.269783333,103.7086,0,0.003213321
p97,1.267116667,103.70435,0.8617,0.007658581
p98,1.265316667,103.70345,1.5594,0.008714012
p99,1.264633333,103.7037167,8.0483,0.014961663
p100,1.26285,103.709,2.5057,0.005016754
p101,1.262233333,103.7099167,6.5204,0.000504559
p102,1.261666667,103.7107,5.5659,0.004184133
p103,1.263033333,103.7013333,3.8018,0.015406076
p104,1.264283333,103.7019,65.2862,0.013624351
p105,1.26375,103.7020833,3.4123,0.008761056
p106,1.2636,103.7029167,0.7621,0.005085477
p107,1.264583333,103.7022,2.3484,0.008122457
p108,1.260333333,103.7009167,2.274,0.002357807
p109,1.2598,103.70175,0.7841,0.013676758
p110,1.256466667,103.7015167,0.8166,0.009099143
p111,1.25335,103.7023333,0.7654,0.011151818
p112,1.25905,103.7031833,0,0.007174439
p113,1.2587,103.70395,11.3154,0.003067562
p114,1.259316667,103.7044,15.0197,0.012673289
p115,1.258133333,103.7053833,12.9167,0.00619953
p116,1.258316667,103.7065333,4.029,0.006060795
p117,1.258316667,103.7065333,5.0238,0.004948586
p118,1.258316667,103.7065333,27.4518,0.00341346
p119,1.266183333,103.6786167,14.1216,0.008071573
p120,1.262616667,103.68,3.4348,0.010608641
p121,1.260066667,103.6994,2.3995,0.006218079
p122,1.25935,103.6981,6.0688,5.73E-03
p123,1.258933333,103.6985167,27.8742,7.50E-03
p124,1.254633333,103.6985667,2.5843,0.010537861
p125,1.253383333,103.6989,3.2961,0.003770421
p126,1.253433333,103.6973333,10.0546,0.008596577
p127,1.261933333,103.6988667,4.4517,0.002383784
p128,1.262533333,103.6992,3.4534,0.009116745
p129,1.25985,103.6945667,3.3121,1.52E-02
p130,1.263366667,103.6982167,9.589,0.011908757
p131,1.2631,103.6971833,3.3565,0.012635477
p132,1.261666667,103.6950667,6.4861,0.005782731
p133,1.265266667,103.6946,14.4861,0.006548581
p134,1.266733333,103.68975,112.4286,0.004710103
p135,1.270116667,103.68385,0,0.007159246
p136,1.269583333,103.6831833,4.2898,0.001884895
p137,1.27035,103.6826667,4.6712,0.007644225
p138,1.269733333,103.68175,3.2518,6.68E-03
p139,1.2687,103.68205,0,8.94E-04
p140,1.275516667,103.6783667,0,4.24E-03
p141,1.274083333,103.6744333,16.3337,1.05E-02
p142,1.276933333,103.67675,0,1.52E-02
p143,1.2789,103.6754,0,0.000959144
p144,1.279683333,103.6736833,0,0.004474085
p145,1.28225,103.6779,0,1.01E-02
p146,1.28285,103.6759333,3.6038,8.66E-03
p147,1.281466667,103.6795,16.0098,0.009007974
p148,1.281233333,103.68015,5.3446,0.00514802
p149,1.287333333,103.6837167,115.3693,0.01101995
p150,1.251716667,103.6846833,12.1683,6.65E-03
p151,1.251933333,103.6855667,0,0.014347337
p152,1.249316667,103.6848,35.0343,0.009229355
p153,0,128.8424,24.5946,0
p154,1.238858333,103.6831,17.6443,0.004778027
p155,1.24195,103.6860667,8.9106,0.009941425
p156,1.235766667,103.6801333,0,0.013598789
p157,1.235766667,103.6801333,0,1.01E-02
p158,1.225933333,103.6769833,25.5591,5.67E-03
p159,1.23465,103.6772833,26.4086,0.008604615
p160,1.23465,103.6772833,24.5192,3.45E-03
p161,1.233633333,103.6755333,16.2011,0.001325673
p162,1.233633333,103.6755333,25.0533,0.003436638
p163,1.23225,103.6741333,12.9451,0.011757067
p164,1.2528,103.6747167,12.9321,0.009223897
p165,1.245483333,103.6755667,4.7717,0.007585328
p166,1.244533333,103.6759,4.7028,5.27E-03
p167,1.245333333,103.6733333,4.5415,0.01182
p168,1.246383333,103.674,0,0.006476652
p169,1.26665,103.6645333,4.5602,0.011241979
p170,1.26565,103.66445,4.3766,1.16E-02
p171,1.268866667,103.6656667,0,1.40E-02
p172,1.270783333,103.6642,0,1.23E-02
p173,1.27135,103.6621333,0,0.007815079
p174,1.2705,103.6624167,14.1376,0.012692344
p175,1.270816667,103.6613167,8.0678,0.00063504
p176,1.272816667,103.6641333,10.7637,0.004732541
p177,1.275066667,103.6671667,9.8641,0.00679307
p178,1.277216667,103.6700833,10.9995,0.01050206
p179,1.2712,103.6722333,88.519,0.008654675
p180,1.271841667,103.6731417,13.4187,0.006305601
p181,1.272483333,103.67405,11.7099,0.02047715
p182,1.266416667,103.6725167,5.7355,0.00671108
p183,1.2627,103.67205,7.0891,0.013137168
p184,1.261983333,103.6710833,0,0.005036119
p185,1.266116667,103.6673,247.4902,0.019289417
p186,1.264016667,103.6688333,0,0.009074849
p187,1.260216667,103.67125,0,0.008606632
p188,1.25765,103.6724333,12.4799,0.003119229
p189,1.260666667,103.6691333,8.5567,0.008554857
p190,1.259,103.6669667,105.3845,0.007886942
p191,1.258266667,103.66845,4.3532,0.012129909
p192,1.256266667,103.6677333,5.0505,0.002468236
p193,1.256216667,103.66935,5.0455,0.001320857
p194,1.25375,103.6690167,0,0.00371278
p195,1.261679167,103.6810833,10.222,0.006853849
p196,1.25355,103.68075,0,0.007665853
p197,1.254766667,103.68095,0,0.005324779
p198,1.25695,103.6796167,6.2828,0.008970009
p199,1.257533333,103.6790833,0,0.008949498
p200,1.259316667,103.6763333,12.4749,0.004662062
p201,1.26155,103.6749167,2.5694,0.007794969
p202,1.2624,103.67415,0,0.00450584
p203,1.259966667,103.6775167,12.57,0.001982466
p204,1.2613,103.6778167,3.6144,0.009391835
p205,1.262783333,103.6792833,7.6348,0.005348277
p206,1.260766667,103.6837083,42.9469,0.006577688
p207,1.258866667,103.6843333,0,0.005852095
p208,1.266766667,103.6660167,0,0.00198546
