country,capacity_MW,primary_fuel,generation_technology,age,output_MWh,fuel_used
China,1200,coal,supercritical,10,13538,coal
Belgium,350,natural_gas,CCGT,93,1365103,gas
Italy,660,coal,subcritical,19,0,coal
Iran,1300,oil,subcritical,22,665034,oil
Poland,600,lignite,cogeneration,56,0,coal
Ukraine,160,oil,Engine,13,161911,oil
China,1200,bituminous,supercritical,11,6146662,coal
United_Kingdom,2200,natural_gas,CCGT,5,7761546,gas
Czech_Republic,1490,lignite,subcritical,50,10700000,coal
Austria,70,coal,subcritical,41,12236,coal
Greece,430,natural_gas,CCGT,7,607502,gas
Italy,1458,natural_gas,CCGT,21,9918578,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
Singapore,1540,natural_gas,CCGT,15,2554022,gas
Malaysia,2100,coal,subcritical,55,12800000,coal
Mexico,683,natural_gas,CCGT,32,5039079,gas
Egypt,165,natural_gas,CCGT,43,949797,gas
India,400,coal,subcritical,55,3169067,coal
United_Arab_Emirates,540,natural_gas,subcritical,28,1015459,gas
Austria,757,coal,subcritical,41,3232147,coal
Israel,280,natural_gas,CCGT,37,303590,gas
United_States,1782,subbituminous,subcritical,32,16500000,coal
Oman,585,natural_gas,CCGT,14,1536606,gas
United_States,750,natural_gas,CCGT,13,857559,gas
El_Salvador,12,natural_gas,CCGT,12,38714,gas
Republic_of_Korea,2000,natural_gas,CCGT,20,6917015,gas
Germany,487,coal,subcritical,45,3543883,coal
Japan,874,oil,subcritical,7,2041564,oil
Russia,66,natural_gas,subcritical,12,210222,gas
Mexico,496,natural_gas,CCGT,55,0,gas
Czech_Republic,105,lignite,cogeneration,62,873708,coal
Malaysia,2420,coal,subcritical,55,15500000,coal
Australia,510,natural_gas,subcritical,36,1700774,gas
Spain,1400,lignite,subcritical,43,10000000,coal
China,1200,bituminous,supercritical,5,0,coal
Iran,1912,natural_gas,CCGT,22,3267510,gas
Thailand,228,natural_gas,cogeneration,19,1195078,gas
Japan,394,natural_gas,CCGT,10,391080,gas
India,1720,lignite,subcritical,32,10500000,coal
Czech_Republic,800,coal,cogeneration,38,5429616,coal
United_Kingdom,10,natural_gas,OCGT,19,29673,gas
United_States,1336,natural_gas,CCGT,37,0,gas
Israel,248,oil,subcritical,37,176216,oil
Portugal,946,natural_gas,CCGT,38,2041564,gas
Germany,64,natural_gas,CCGT,22,12366,gas
United_Kingdom,520,coal,subcritical,36,2353464,coal
Bahrain,700,natural_gas,OCGT,39,1405834,gas
Russia,22,coal,subcritical,91,258849,coal
Japan,1200,coal,ultrasupercritical,19,6817015,coal
Ukraine,2400,coal,subcritical,52,0,coal
Thailand,700,natural_gas,CCGT,5,0,gas
Malaysia,270,coal,subcritical,55,873224,coal
India,3300,coal,subcritical,8,0,coal
Serbia,120,oil,cogeneration,48,228624,oil
Canada,30,natural_gas,OCGT,61,2050,gas
Russia,497,bituminous,cogeneration,47,3543883,coal
Czech_Republic,296,lignite,subcritical,59,1633800,coal
India,1340,coal,subcritical,28,5270425,coal
China,1200,bituminous,supercritical,7,0,coal
China,360,natural_gas,CCGT,11,0,gas
India,740,natural_gas,CCGT,4,0,gas
Germany,13,natural_gas,CCGT,17,32383,gas
Spain,586,coal,subcritical,52,3694657,coal
China,1320,coal,subcritical,9,6229800,coal
United_States,207,bituminous,cogeneration,58,0,coal
Portugal,263,natural_gas,CCGT,38,857084,gas
India,600,coal,subcritical,5,0,coal
Chile,608,coal,subcritical,22,4047700,coal
Germany,2234,lignite,subcritical,41,2877524,coal
India,507,natural_gas,CCGT,16,500019,gas
China,2520,coal,subcritical,12,0,coal
United_States,100,oil,Engine,18,35131,oil
Russia,57,natural_gas,subcritical,76,496692,gas
Turkey,1440,lignite,subcritical,15,6253373,coal
Ukraine,2175,coal,subcritical,57,6870647,coal
Russia,38,natural_gas,CCGT,86,43085,gas
Canada,600,bituminous,subcritical,9,3402101,coal
South_Africa,400,natural_gas,CCGT,0,502762,gas
Germany,5,natural_gas,CCGT,24,3479,gas
United_States,1200,natural_gas,CCGT,13,4358140,gas
China,1200,bituminous,subcritical,11,6146662,coal
United_States,2,subbituminous,subcritical,48,0,coal
Australia,190,coal,subcritical,19,1986197,coal
Republic_of_Korea,1074,natural_gas,CCGT,3,2403587,gas
India,2400,coal,subcritical,3,0,coal
United_States,9,subbituminous,subcritical,31,28003,coal
Spain,800,natural_gas,CCGT,12,3546664,gas
United_States,883,oil,subcritical,13,2041564,oil
Malaysia,790,natural_gas,CCGT,55,1827505,gas
Spain,408,natural_gas,CCGT,15,1688199,gas
United_Arab_Emirates,250,coal,subcritical,38,1119999,coal
Japan,1446,oil,subcritical,44,3509504,oil
China,600,coal,subcritical,13,2901500,coal
China,600,coal,subcritical,28,3509996,coal
India,3600,coal,supercritical,4,0,coal
Libya,130,oil,subcritical,-14,236260,oil
United_States,178,natural_gas,CCGT,30,135450,gas
Japan,1190,natural_gas,subcritical,3,0,gas
Japan,1190,natural_gas,subcritical,5,0,gas
China,700,coal,subcritical,18,3401184,coal
China,1115,natural_gas,CCGT,60,4993449,gas
Belarus,54,natural_gas,CCGT,46,86825,gas
France,90,coal,subcritical,18,213663,coal
Brazil,33,oil,subcritical,26,28378,oil
Nigeria,685,natural_gas,CCGT,16,5039079,gas
Spain,615,subbituminous,subcritical,52,4047700,coal
China,1180,natural_gas,CCGT,17,1244321,gas
Netherlands,1290,natural_gas,CCGT,37,10300000,gas
United_States,8,natural_gas,CCGT,31,19787,gas
Russia,160,natural_gas,subcritical,43,530194,gas
United_States,242,bituminous,subcritical,47,344061,coal
Russia,237,natural_gas,CCGT,32,447247,gas
United_States,1782,bituminous,subcritical,32,16500000,coal
Russia,4,lignite,subcritical,16,11320,coal
India,450,coal,subcritical,5,0,coal
Japan,2295,natural_gas,CCGT,27,10600000,gas
Malaysia,828,natural_gas,OCGT,55,5473000,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
United_Kingdom,520,coal,subcritical,36,2353464,coal
Spain,1341,natural_gas,CCGT,33,9306573,gas
Spain,800,natural_gas,CCGT,10,2300729,gas
United_States,550,natural_gas,CCGT,15,548443,gas
China,1200,natural_gas,CCGT,11,3897402,gas
China,600,bituminous,subcritical,13,2769693,coal
Mongolia,540,subbituminous,subcritical,34,2374843,coal
Russia,41,natural_gas,CCGT,85,129996,gas
Saudi_Arabia,474,natural_gas,CCGT,11,76459,gas
United_States,2844,natural_gas,CCGT,42,16400000,gas
Russia,440,natural_gas,subcritical,4,0,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
China,600,coal,subcritical,7,0,coal
United_States,232,subbituminous,subcritical,47,1140785,coal
Japan,4810,natural_gas,CCGT,32,3679313,gas
United_Kingdom,510,natural_gas,CCGT,15,359596,gas
China,1200,bituminous,supercritical,7,0,coal
Japan,1500,natural_gas,CCGT,10,16401,gas
Portugal,990,natural_gas,CCGT,18,5145072,gas
India,3080,coal,subcritical,22,10700000,coal
Germany,214,natural_gas,cogeneration,42,629016,gas
China,1200,bituminous,subcritical,6,0,coal
Afghanistan,42,natural_gas,OCGT,27,191232,gas
Italy,295,coal,subcritical,24,1633800,coal
Spain,800,natural_gas,CCGT,6,478387,gas
Austria,14,natural_gas,subcritical,41,4463,gas
India,1200,coal,subcritical,7,0,coal
Australia,53,natural_gas,CCGT,42,86825,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
United_States,300,natural_gas,OCGT,62,1013303,gas
United_Kingdom,800,natural_gas,CCGT,17,2228317,gas
Bangladesh,360,natural_gas,CCGT,16,2064525,gas
India,1200,coal,subcritical,6,0,coal
Netherlands,870,natural_gas,CCGT,8,0,gas
Chile,320,bituminous,subcritical,17,1529953,coal
Pakistan,35,natural_gas,OCGT,9,76053,gas
China,1200,bituminous,supercritical,4,0,coal
Czech_Republic,185,natural_gas,CCGT,60,297322,gas
United_States,35,natural_gas,CCGT,31,76053,gas
France,270,coal,subcritical,46,873224,coal
Bangladesh,96,natural_gas,OCGT,30,244039,gas
France,765,oil,subcritical,48,3328857,oil
Turkey,600,lignite,subcritical,18,2473591,coal
India,350,coal,subcritical,51,1826809,coal
China,1200,bituminous,subcritical,21,0,coal
Indonesia,660,subbituminous,supercritical,5,0,coal
United_States,277,natural_gas,CCGT,62,462481,gas
China,1200,bituminous,supercritical,10,6848842,coal
Iran,1370,natural_gas,CCGT,22,7239655,gas
India,1200,coal,subcritical,4,0,coal
Turkey,800,natural_gas,CCGT,34,478387,gas
Russia,325,natural_gas,CCGT,62,1333422,gas
Kuwait,876,natural_gas,CCGT,-14,33898,gas
China,2520,bituminous,subcritical,11,6292797,coal
Turkey,1355,lignite,subcritical,15,8962890,coal
United_States,883,oil,subcritical,13,2041564,oil
Italy,43,natural_gas,CCGT,9,0,gas
United_States,1720,bituminous,subcritical,32,10500000,coal
United_States,1734,natural_gas,CCGT,32,0,gas
United_Kingdom,1940,natural_gas,CCGT,47,11300000,gas
India,320,coal,subcritical,51,26500,coal
Algeria,72,natural_gas,OCGT,45,252156,gas
United_Republic_of_Tanzania,100,oil,Engine,47,35131,oil
China,600,bituminous,subcritical,13,2769693,coal
United_States,735,natural_gas,subcritical,13,1599045,gas
India,380,natural_gas,CCGT,12,874702,gas
Italy,390,natural_gas,CCGT,12,1688199,gas
United_States,232,subbituminous,subcritical,47,1140785,coal
Malaysia,1303,natural_gas,CCGT,55,10300000,gas
Algeria,80,natural_gas,OCGT,45,238236,gas
China,1920,bituminous,subcritical,16,2857842,coal
Canada,80,natural_gas,cogeneration,41,238236,gas
Poland,460,bituminous,supercritical,63,3189000,coal
United_States,9,bituminous,subcritical,31,28003,coal
India,440,coal,subcritical,43,2721132,coal
Bosnia_and_Herzegovina,450,lignite,subcritical,17,2675795,coal
France,840,natural_gas,subcritical,12,2205081,gas
Egypt,600,oil,subcritical,43,1227512,oil
China,1200,bituminous,supercritical,19,2093900,coal
Belgium,485,natural_gas,CCGT,23,2627965,gas
France,575,natural_gas,CCGT,55,1913109,gas
France,413,natural_gas,CCGT,5,0,gas
Canada,279,lignite,subcritical,32,1550877,coal
China,1200,bituminous,subcritical,24,6283780,coal
Argentina,643,natural_gas,CCGT,48,3564000,gas
United_States,100,oil,Engine,18,35131,oil
Spain,400,natural_gas,CCGT,7,733509,gas
Russia,320,natural_gas,subcritical,54,1882341,gas
Turkmenistan,1685,oil,subcritical,48,2660830,oil
Mexico,496,natural_gas,CCGT,55,0,gas
Chile,55,coal,subcritical,60,360102,coal
United_Kingdom,10,natural_gas,OCGT,46,6011,gas
Argentina,68,natural_gas,OCGT,38,59535,gas
Canada,80,natural_gas,cogeneration,41,238236,gas
Japan,1140,natural_gas,CCGT,14,5323759,gas
Brunei,180,natural_gas,CCGT,32,1450149,gas
Morocco,472,natural_gas,CCGT,6,0,gas
United_Kingdom,1360,natural_gas,CCGT,38,5863563,gas
United_Kingdom,142,natural_gas,OCGT,21,355817,gas
China,1200,bituminous,subcritical,10,6848842,coal
United_States,102,natural_gas,CCGT,30,641416,gas
Russia,12,natural_gas,CCGT,80,39539,gas
China,800,coal,subcritical,17,3879330,coal
United_States,1426,subbituminous,subcritical,33,6351414,coal
United_States,1611,subbituminous,subcritical,32,8641760,coal
Australia,416,bituminous,subcritical,8,0,coal
Canada,642,natural_gas,CCGT,9,3564000,gas
Azerbaijan,110,natural_gas,OCGT,41,130423,gas
Vietnam,715,natural_gas,CCGT,12,1889050,gas
United_Kingdom,106,natural_gas,OCGT,64,659430,gas
United_States,1136,natural_gas,CCGT,13,5323759,gas
United_States,2,subbituminous,subcritical,48,0,coal
United_States,1136,natural_gas,CCGT,13,5323759,gas
Russia,580,coal,subcritical,86,2054633,coal
China,1200,bituminous,subcritical,22,9638495,coal
United_States,122,natural_gas,CCGT,30,113315,gas
Romania,1285,subbituminous,subcritical,8,8942401,coal
India,250,lignite,subcritical,12,344061,coal
United_States,863,natural_gas,OCGT,13,0,gas
Czech_Republic,800,lignite,cogeneration,38,5429616,coal
China,750,natural_gas,CCGT,16,0,gas
Hong_Kong,120,coal,subcritical,22,355352,coal
Algeria,520,natural_gas,OCGT,11,851236,gas
Canada,45,natural_gas,OCGT,61,37782,gas
India,1000,coal,subcritical,10,58865,coal
Canada,126,natural_gas,subcritical,41,506470,gas
Italy,780,natural_gas,CCGT,7,0,gas
France,868,natural_gas,subcritical,64,3066617,gas
United_States,1336,natural_gas,CCGT,37,0,gas
United_States,550,natural_gas,CCGT,15,548443,gas
France,765,oil,subcritical,48,3328857,oil
India,1050,coal,subcritical,6,0,coal
Turkey,371,natural_gas,OCGT,27,0,gas
Germany,3000,lignite,subcritical,36,25800000,coal
India,1630,coal,subcritical,31,11300000,coal
Singapore,2807,natural_gas,CCGT,15,16400000,gas
Poland,323,coal,cogeneration,39,2479804,coal
Iran,1280,oil,subcritical,22,6041628,oil
Japan,1000,oil,subcritical,37,1407387,oil
China,1200,bituminous,supercritical,11,2959098,coal
Nigeria,1320,oil,subcritical,39,665034,oil
United_States,15,natural_gas,CCGT,31,4463,gas
Australia,500,natural_gas,CCGT,36,902239,gas
Japan,250,oil,subcritical,10,176216,oil
Bahrain,700,natural_gas,OCGT,39,1405834,gas
China,915,coal,subcritical,20,7086880,coal
United_States,242,bituminous,subcritical,47,344061,coal
China,300,oil,OCGT,13,810609,oil
Denmark,626,coal,subcritical,46,3907924,coal
Algeria,880,natural_gas,CCGT,12,2245459,gas
India,3300,coal,supercritical,8,0,coal
Japan,3600,natural_gas,CCGT,43,16800000,gas
Russia,110,coal,cogeneration,58,335551,coal
Mexico,496,natural_gas,CCGT,55,0,gas
China,4400,coal,supercritical,13,15600000,coal
Russia,78,natural_gas,CCGT,79,350141,gas
United_States,1782,bituminous,subcritical,32,16500000,coal
Russia,340,bituminous,cogeneration,59,2172687,coal
South_Africa,1600,natural_gas,OCGT,50,7357762,gas
United_States,100,oil,Engine,18,35131,oil
Australia,300,natural_gas,OCGT,19,796145,gas
Germany,74,natural_gas,CCGT,18,12236,gas
India,1050,coal,subcritical,18,4470149,coal
Italy,1600,natural_gas,CCGT,21,6742489,gas
India,1000,coal,subcritical,4,0,coal
Russia,385,bituminous,cogeneration,74,1239909,coal
China,1200,bituminous,supercritical,10,13538,coal
Turkey,1351,natural_gas,CCGT,15,5863563,gas
Bangladesh,110,oil,Engine,16,261135,oil
United_States,1570,natural_gas,CCGT,32,2554022,gas
Malaysia,145,natural_gas,CCGT,55,540184,gas
United_Kingdom,135,natural_gas,CCGT,18,269921,gas
Spain,1400,lignite,subcritical,41,8856,coal
Libya,160,oil,subcritical,-14,618746,oil
Argentina,845,natural_gas,CCGT,48,0,gas
Spain,400,natural_gas,CCGT,7,733509,gas
China,2400,coal,supercritical,-980,6146662,coal
Croatia,89,natural_gas,OCGT,8,59335,gas
China,1200,bituminous,supercritical,12,5940181,coal
China,1200,bituminous,subcritical,10,5182357,coal
Spain,854,natural_gas,CCGT,12,2151845,gas
United_States,1022,natural_gas,CCGT,13,1688808,gas
United_States,1022,natural_gas,CCGT,13,1688808,gas
Netherlands,210,natural_gas,OCGT,29,842808,gas
China,1200,bituminous,supercritical,22,9638495,coal
Italy,757,natural_gas,CCGT,20,0,gas
Bangladesh,130,natural_gas,OCGT,19,437677,gas
United_Kingdom,140,natural_gas,OCGT,21,522767,gas
United_States,2312,subbituminous,subcritical,43,5609920,coal
India,1200,coal,subcritical,7,0,coal
Russia,331,coal,subcritical,72,797103,coal
Poland,5053,lignite,subcritical,35,32800000,coal
Japan,1800,natural_gas,supercritical,47,5974696,gas
Netherlands,2400,natural_gas,CCGT,41,17800000,gas
Switzerland,55,natural_gas,OCGT,8,0,gas
United_States,1022,natural_gas,CCGT,13,1688808,gas
United_States,100,oil,Engine,18,35131,oil
Spain,365,coal,subcritical,35,2199279,coal
China,600,coal,subcritical,10,0,coal
Nigeria,438,natural_gas,OCGT,16,0,gas
United_States,883,oil,subcritical,13,2041564,oil
Egypt,350,oil,subcritical,43,2426218,oil
Russia,36,natural_gas,CCGT,13,19590,gas
Australia,880,bituminous,supercritical,8,1303533,coal
India,600,coal,subcritical,9,0,coal
Italy,857,natural_gas,CCGT,10,2151845,gas
Belarus,2640,natural_gas,subcritical,48,7065780,gas
India,652,natural_gas,CCGT,28,4531000,gas
China,1200,bituminous,subcritical,9,0,coal
China,1200,anthracite,supercritical,12,5353323,coal
United_States,1000,natural_gas,CCGT,13,0,gas
United_Kingdom,665,natural_gas,CCGT,36,1647677,gas
Russia,470,natural_gas,subcritical,55,1513971,gas
Japan,5040,natural_gas,CCGT,9,30800000,gas
Argentina,232,natural_gas,OCGT,48,471550,gas
China,1200,bituminous,supercritical,21,6144295,coal
India,270,coal,subcritical,26,873224,coal
Bosnia_and_Herzegovina,300,lignite,supercritical,17,1990822,coal
Colombia,240,coal,subcritical,18,447247,coal
India,695,coal,subcritical,57,2487372,coal
Thailand,114,natural_gas,OCGT,5,217563,gas
Japan,1500,natural_gas,CCGT,45,1406105,gas
India,1200,bituminous,subcritical,7,1615020,coal
Iran,650,oil,subcritical,22,3328857,oil
United_Kingdom,1360,natural_gas,CCGT,38,5863563,gas
United_States,996,natural_gas,CCGT,13,0,gas
China,1200,bituminous,supercritical,18,6136179,coal
Canada,300,oil,subcritical,32,2145390,oil
Republic_of_Moldova,2520,coal,subcritical,20,2673859,coal
United_States,1136,natural_gas,CCGT,13,5323759,gas
United_Kingdom,1145,natural_gas,CCGT,5,0,gas
Bulgaria,1450,lignite,supercritical,37,2884990,coal
Libya,600,natural_gas,OCGT,-14,268401,gas
Malaysia,250,natural_gas,CCGT,55,1251513,gas
Sierra_Leone,12,lignite,subcritical,39,26403,coal
Australia,310,natural_gas,OCGT,19,0,gas
United_States,100,oil,Engine,18,35131,oil
Japan,1886,natural_gas,subcritical,53,6502441,gas
United_States,122,natural_gas,CCGT,30,113315,gas
Iran,256,oil,subcritical,22,579528,oil
United_States,232,subbituminous,subcritical,47,1140785,coal
India,240,coal,subcritical,29,1407000,coal
Egypt,683,natural_gas,subcritical,43,5039079,gas
Italy,150,natural_gas,CCGT,15,1173405,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
Netherlands,339,natural_gas,CCGT,22,1553993,gas
United_States,277,natural_gas,CCGT,62,462481,gas
India,282,natural_gas,CCGT,6,303590,gas
United_Republic_of_Tanzania,100,natural_gas,OCGT,47,88243,gas
Japan,446,natural_gas,CCGT,10,1360661,gas
Canada,250,natural_gas,CCGT,32,159382,gas
Pakistan,1260,oil,subcritical,17,6041628,oil
India,105,oil,Engine,14,346435,oil
China,600,bituminous,subcritical,12,2508092,coal
China,1200,coal,supercritical,18,6136179,coal
Pakistan,225,natural_gas,CCGT,9,1153882,gas
United_States,550,natural_gas,CCGT,15,548443,gas
Singapore,1540,natural_gas,CCGT,15,2554022,gas
United_States,232,subbituminous,subcritical,47,1140785,coal
United_Kingdom,10,natural_gas,OCGT,15,7320,gas
United_States,242,bituminous,subcritical,47,344061,coal
Chile,96,oil,Engine,60,35131,oil
Italy,1980,coal,ultrasupercritical,8,12900000,coal
Ireland,404,natural_gas,CCGT,70,962896,gas
Belgium,359,natural_gas,CCGT,19,1365103,gas
Tunisia,471,natural_gas,CCGT,64,0,gas
Russia,880,natural_gas,CCGT,40,3108307,gas
Spain,400,natural_gas,CCGT,7,733509,gas
Spain,217,coal,subcritical,12,549398,coal
China,1200,bituminous,supercritical,10,6146662,coal
Republic_of_Korea,1000,oil,subcritical,3,1407387,oil
Romania,250,oil,subcritical,20,176216,oil
Japan,2100,oil,subcritical,44,2815585,oil
United_States,1136,natural_gas,CCGT,13,5323759,gas
China,62,subbituminous,subcritical,44,57461,coal
United_States,2,subbituminous,subcritical,48,0,coal
China,1200,bituminous,supercritical,5,0,coal
Denmark,410,coal,subcritical,46,1429297,coal
China,1200,bituminous,subcritical,12,5353323,coal
Germany,160,natural_gas,subcritical,86,308983,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
