station_name,x,y,z,PM2.5(ug/m3),NO2(ug/m3),O3(ug/m3),PM10(ug/m3),SO2(ug/m3)
centralwestern,22.284922,114.14408,16.0,70.0,162.0,17.0,111.0,21.0
kuaichong,22.356832,114.129298,13.0,77.0,157.0,14.0,111.0,22.0
shanshuipo,22.330178,114.158966,17.0,72.0,148.0,15.0,117.0,20.0
taipo,22.450837,114.164295,25.0,75.0,155.0,14.0,110.0,19.0
tapmun,22.47124,114.360788,11.0,74.0,153.0,15.0,118.0,20.0
tsunwan,22.371641,114.114541,17.0,77.0,156.0,14.0,104.0,20.0
tungchong,22.289069,113.943342,27.5,75.0,158.0,17.0,102.0,19.0
yuanlong,22.444963,114.022653,25.0,77.0,145.0,15.0,105.0,21.0
causewaybay,22.279998,114.185357,3.0,74.0,157.0,17.0,112.0,19.0
central,22.281966,114.157853,4.5,71.0,161.0,17.0,100.0,21.0
shatin,22.376442,114.184638,25.0,78.0,160.0,18.0,110.0,19.0
kuntong,22.313369,114.224726,25.0,79.0,147.0,17.0,118.0,21.0
eastern,22.282909,114.21932,15.0,72.0,151.0,18.0,103.0,20.0
mongkok,22.32212,114.168712,3.0,77.0,153.0,18.0,111.0,20.0
tuenmen,22.39112,113.976733,25.0,71.0,159.0,14.0,114.0,18.0
