ID,Castle Name,Longitude,Latitude,Current Owner,Construction Date,Original Owner,Country,Castle Type,Structural Condition
1,Alnwick Castle,-1.7059204,55.4155828,Heritage Company A,883,Aleshia Tomkiewicz,England,Concentric,Intact
2,Bamburgh Castle,-1.7099001,55.6089596,Private owner,999,Evan Zigomalas,England,MotteAndBailey,Destroyed
3,Beeston Castle,-2.6919125,53.1279285,Private owner,815,France Andrade,England,MotteAndBailey,Destroyed
4,Belvoir Castle,-0.7824282,52.8947462,Heritage Company B,915,Ulysses Mcwalters,England,StoneKeep,Destroyed
5,Berkeley Castle,-2.4567624,51.6885901,Private owner,934,Tyisha Veness,England,Concentric,Mostly Intact
6,Berkhamsted Castle,-0.5590735,51.7639122,Heritage Company C,831,Eric Rampy,England,StoneKeep,Parts Intact
7,Bodiam Castle,0.543549,51.002266,Heritage Company C,924,Marg Grasmick,England,MotteAndBailey,Intact
8,Bolingbroke Castle,0.0171593,53.1652855,Heritage Company C,788,Laquita Hisaw,England,MotteAndBailey,Restored
9,Bolsover Castle,-1.2958445,53.2309493,Heritage Company B,1024,Lura Manzella,England,RomanFort,Restored
10,Bolton Castle,-1.9495244,54.3222641,Heritage Company C,1234,Yuette Klapec,England,RomanFort,Parts Intact
11,Cadbury Castle,-2.5316298,51.0246815,Heritage Company C,1130,Fernanda Writer,England,RomanFort,Mostly Intact
12,Carisbrooke Castle,-1.3134483,50.6875217,Heritage Company C,751,Charlesetta Erm,England,Concentric,Destroyed
13,Carlisle Castle,-2.9417735,54.8969744,Private owner,811,Corrinne Jaret,England,RomanFort,Intact
14,Clifford's Tower York,-1.07994,53.95582,Heritage Company B,1247,Niesha Bruch,England,RomanFort,Ruins
15,Chillingham Castle,-1.9043416,55.5259574,Heritage Company A,1170,Rueben Gastellum,England,Concentric,Parts Intact
16,Colchester Castle,0.9029893,51.8906756,Private owner,1131,Michell Throssell,England,Concentric,Intact
17,Corfe Castle,-2.058794,50.640233,Heritage Company B,858,Edgar Kanne,England,StoneKeep,Intact
18,Deal Castle,1.4036037,51.2194244,Private owner,1019,Dewitt Julio,England,RomanFort,Restored
19,Devizes Castle,-1.9976348,51.3511904,Private owner,1160,Charisse Spinello,England,RomanFort,Destroyed
20,Donnington Castle,-1.3383827,51.4196101,Private owner,948,Mee Lapinski,England,RomanFort,Intact
21,Dover Castle,1.3233695,51.1291211,Heritage Company C,1090,Peter Gutierres,England,MotteAndBailey,Parts Intact
22,Castle Drogo,-3.8114,50.696,Private owner,1064,Octavio Salvadore,England,MotteAndBailey,Restored
23,Dunster Castle,-3.4437525,51.1817163,Private owner,1105,Martha Teplica,England,MotteAndBailey,Restored
24,Dunstanburgh Castle,-1.5950536,55.4894253,Heritage Company B,1167,Tamesha Veigel,England,RomanFort,Ruins
25,Durham Castle,-1.5762528,54.7754491,Private owner,1173,Tess Sitra,England,StoneKeep,Restored
26,Exeter Castle (Rougemont Castle),-3.5302435,50.7265836,Private owner,1143,Leonard Kufner,England,MotteAndBailey,Destroyed
27,Farleigh Hungerford Castle,-2.2870316,51.3175177,Private owner,1035,Svetlana Tauras,England,StoneKeep,Intact
28,Farnham Castle,-0.8021396,51.219103,Heritage Company A,794,Pok Molaison,England,RomanFort,Parts Intact
29,Floors Castle,-2.4425049,55.6028004,Heritage Company C,1151,Augustine Growcock,England,MotteAndBailey,Parts Intact
30,Framlingham Castle,1.3467338,52.2237783,Heritage Company C,756,Karma Quarto,England,RomanFort,Intact
31,Hastings Castle,0.584773,50.855918,Private owner,771,Reed Weisinger,England,StoneKeep,Restored
32,Helmsley Castle,-1.0642254,54.2447667,Heritage Company C,1001,German Zelaya,England,StoneKeep,Intact
33,Hever Castle & Gardens,0.1138464,51.1871796,Heritage Company A,758,Milly Savidge,England,Concentric,Destroyed
34,Castle Howard,-0.9057029,54.1236624,Heritage Company A,867,Luis Ear,England,StoneKeep,Destroyed
35,Kenilworth Castle and Elizabethan Garden,-1.592118,52.3483397,Heritage Company B,947,Ciara Cobbley,England,Concentric,Intact
36,Leeds Castle,0.6304649,51.2489896,Heritage Company B,1056,Alethea Mould,England,StoneKeep,Intact
37,Lewes Castle & Museum,0.0078358,50.8730307,Private owner,1056,Margurite Loperfido,England,MotteAndBailey,Parts Intact
38,Lindisfarne Castle,-1.7847675,55.6691767,Heritage Company B,862,Vernice Sperazza,England,StoneKeep,Mostly Intact
39,Ludlow Castle,-2.7229913,52.3671216,Heritage Company C,1250,Vicente Rawicki,England,MotteAndBailey,Mostly Intact
40,Lumley Castle,-1.55329,54.8534616,Private owner,957,Craig Cua,England,Concentric,Restored
41,Lulworth Castle Wareham,-2.209989,50.6399197,Heritage Company B,827,Jenise Dulle,England,MotteAndBailey,Mostly Intact
42,Maiden Castle,-2.4750807,50.6972859,Private owner,1168,Marylin Cornelison,England,MotteAndBailey,Ruins
43,Monmouth Castle,-2.7171573,51.8123527,Heritage Company C,840,Marget Gunst,England,StoneKeep,Destroyed
44,Moreton Corbet Castle,-2.6524532,52.8040956,Heritage Company A,1119,Annett Bunselmeyer,England,RomanFort,Parts Intact
45,Nottingham Castle,-1.1548492,52.9495623,Private owner,1149,Kip Turziano,England,MotteAndBailey,Destroyed
46,Pendennis Castle,-5.0466304,50.1461094,Heritage Company C,768,Melina Orizabal,England,RomanFort,Intact
47,Peveril Castle,-1.776956,53.3408726,Heritage Company B,1122,Tina Clapham,England,Concentric,Intact
48,Powderham Castle,-3.461997,50.6432793,Private owner,791,Luisa Devereux,England,MotteAndBailey,Parts Intact
49,Norwich Castle,1.2963446,52.6285721,Private owner,931,Pedro Aschoff,England,Concentric,Restored
50,Okehampton Castle,-4.0083319,50.7307265,Heritage Company B,791,Carrol Kunimitsu,England,Concentric,Parts Intact
51,Orford Castle,1.530753,52.094217,Heritage Company B,1024,Alba Mosseri,England,RomanFort,Restored
52,Oxford Castle & Prison,-1.2622189,51.7518236,Private owner,1002,Domonique Sandlin,England,Concentric,Restored
53,Castle Rushen,-4.6523198,54.0738399,Private owner,1086,Rory Neufville,England,StoneKeep,Mostly Intact
54,Peel Castle,-4.6983492,54.2260861,Heritage Company C,1074,Dustin Klingaman,England,MotteAndBailey,Destroyed
55,Castle Rising,0.470443,52.798091,Heritage Company C,826,Lyndia Moonshower,England,Concentric,Intact
56,Ros Castle,-1.8730575,55.5216331,Heritage Company A,1051,Jules Hiltner,England,Concentric,Destroyed
57,Saint Michael's Mount,-5.4781292,50.1167814,Heritage Company C,1111,Dong Kopczynski,England,StoneKeep,Intact
58,Scotney Castle,0.4041138,51.0997326,Private owner,1249,Justine Salta,England,RomanFort,Mostly Intact
59,Sham Castle,-2.3375559,51.3824217,Heritage Company B,1064,Chantay Kamens,England,RomanFort,Parts Intact
60,Sherborne Old Castle,-2.502253,50.949435,Private owner,1025,Tequila Chisum,England,RomanFort,Restored
61,Sherborne Castle & Gardens,-2.5006479,50.9458918,Heritage Company A,914,Maybelle Consolazio,England,StoneKeep,Parts Intact
62,Sissinghurst Castle Garden,0.5826609,51.1155223,Heritage Company B,792,Margarett Bairo,England,Concentric,Destroyed
63,Skipton Castle,-2.015283,53.963925,Heritage Company C,826,Janessa Noonon,England,StoneKeep,Ruins
64,Tintagel Castle,-4.758516,50.6674309,Heritage Company A,1148,Sol Cowser,England,MotteAndBailey,Intact
65,Totnes Castle,-3.6905863,50.4321774,Heritage Company A,1012,Louann Smethers,England,RomanFort,Intact
66,Tower of London,-0.0759493,51.5081124,Heritage Company B,1124,Lindsay Yadao,England,MotteAndBailey,Restored
67,Trematon Castle,-4.2377519,50.4004673,Private owner,1109,Malika Hanton,England,Concentric,Destroyed
68,Walmer Castle and Gardens,1.4011123,51.2001884,Heritage Company C,1017,Stefany Ferenz,England,RomanFort,Intact
69,Warwick Castle,-1.585228,52.2800881,Private owner,896,Abraham Cratch,England,StoneKeep,Destroyed
70,Windsor Castle,-0.6044027,51.483894,Private owner,1195,Giuseppe Rohaley,England,MotteAndBailey,Destroyed
71,Wray Castle,-2.964237,54.400611,Heritage Company A,994,Kiera Bassil,England,Concentric,Ruins
72,York Castle Museum,-1.0783874,53.9557781,Private owner,916,Wendell Rubano,England,StoneKeep,Parts Intact
73,Broughty Castle Museum,-2.8698254,56.4649116,Heritage Company C,858,Stevie Stifflemire,England,MotteAndBailey,Ruins
74,Ardvreck Castle,-4.9939533,58.1664678,Heritage Company C,1249,Yun Paletta,Scotland,MotteAndBailey,Parts Intact
75,Balmoral Castle,-3.2292362,57.0396646,Heritage Company C,1039,Brittani Thurm,Scotland,MotteAndBailey,Restored
76,Blair Castle,-3.8455898,56.766979,Heritage Company A,1076,Billy Venus,Scotland,RomanFort,Parts Intact
77,Broch of Mousa,-1.1820394,59.9954218,Heritage Company A,1225,Brynn Elkan,Scotland,StoneKeep,Ruins
78,Caerlaverock Castle,-3.5240108,54.9756543,Heritage Company B,908,Elroy Piehler,Scotland,MotteAndBailey,Mostly Intact
79,Castle & Gardens of Mey,-3.2247877,58.6470963,Private owner,1159,Anisha Shulick,Scotland,StoneKeep,Intact
80,Cawdor Castle and Gardens,-3.9265622,57.5242749,Private owner,951,Bettina Kham,Scotland,RomanFort,Ruins
81,Crathes Castle,-2.4405233,57.0635718,Heritage Company B,770,Velda Mancilla,Scotland,Concentric,Ruins
82,Duart Castle,-5.6551997,56.4561763,Heritage Company B,1131,Marta Brace,Scotland,RomanFort,Restored
83,Dunnottar Castle,-2.1971901,56.9457767,Heritage Company B,779,Juan Vanwyhe,Scotland,RomanFort,Destroyed
84,Dunrobin Castle,-3.945489,57.9819501,Private owner,932,Lelia Filion,Scotland,RomanFort,Mostly Intact
