Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label,,
OntoLandslide,TBox,http://www.theworldavatar.com/kg/ontowildfire/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,,,
OntoLandslide,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,,,
OntoLandslide,TBox,OntoLandslide is an ontology developed to represent landslide hazard,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,,,
OntoLandslide,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,,,
Event,Class,,,,,,Represents any occurrence or happening that affects entities or locations.,http://www.theworldavatar.com/kg/ontolandslide,Event,,
Interval,Class,,,,,,"A period between two instants, marking the start and end of an event.",http://www.theworldavatar.com/kg/ontolandslide,Interval,,
Instant,Class,,,,,,A precise point in time at which an event occurs.,http://www.theworldavatar.com/kg/ontolandslide,Instant,,
Location,Class,,,,,,The geographical position where an event or entity is situated.,http://www.theworldavatar.com/kg/ontolandslide,Location,,
LandslideHistory,Class,,,,,,A record of past landslides including relevant data and time series.,http://www.theworldavatar.com/kg/ontolandslide,Landslide History,,
TimeSeries,Class,,,,,,A sequence of data points measured at successive time intervals.,http://www.theworldavatar.com/kg/ontolandslide,Time Series,,
ShapeFile,Class,Location,IS-A,,,,"A digital vector storage format for storing the location, shape, and attributes of geographic features.",http://www.theworldavatar.com/kg/ontolandslide,Shape File,,
http://www.opengis.net/ont/geosparql#Geometry,Class,Location,IS-A,,,,Represents the spatial geometry of an entity in geographic space.,http://www.opengis.net/ont/geosparql#,Geometry,,
WeatherCondition,Class,Location,IS-A,,,,"Environmental conditions such as rain, temperature, and wind that affect events like landslides.",http://www.theworldavatar.com/kg/ontolandslide,Weather Condition,,
Organization,Class,ShapeFile,IS-A,,,,"An entity that produces data, reports, or manages resources related to landslide events.",http://www.theworldavatar.com/kg/ontolandslide,Organization,,
FileUrl,Class,ShapeFile,IS-A,,,,A URL link that points to a file containing relevant information or data.,http://www.theworldavatar.com/kg/ontolandslide,File Url,,
Landslide,Class,Event,IS-A,,,,"A mass movement of earth, rock, or debris down a slope, typically caused by gravitational pull.",http://www.theworldavatar.com/kg/ontolandslide,Landslide,,
Mudflow,Class,SoilLandslide,IS-A,,,,A type of fast-moving landslide with high water content carrying mud and debris.,http://www.theworldavatar.com/kg/ontolandslide,Mudflow,,
Earthflow,Class,SoilLandslide,IS-A,,,,A slow-moving flow of fine-grained materials saturated with water.,http://www.theworldavatar.com/kg/ontolandslide,Earthflow,,
Slump-RotationalSlide,Class,SoilLandslide,IS-A,,,,A type of landslide characterized by the downward and outward rotation of slope materials.,http://www.theworldavatar.com/kg/ontolandslide,Slump - Rotational Slide,,
Solifluction,Class,SoilLandslide,IS-A,,,,"The slow flow of water-saturated soil down a slope, usually in cold climates.",http://www.theworldavatar.com/kg/ontolandslide,Solifluction,,
SoilCreep,Class,SoilLandslide,IS-A,,,,A very slow form of soil landslide caused by continuous downhill movement of soil particles.,http://www.theworldavatar.com/kg/ontolandslide,Soil Creep,,
SoilLandslide,Class,Landslide,IS-A,,,,Any landslide involving the movement of soil as the primary material.,http://www.theworldavatar.com/kg/ontolandslide,Soil Landslide,,
TranslationalRockSlide,Class,RockyLandslide,IS-A,,,,A type of landslide where rocks move down a slope along a flat plane.,http://www.theworldavatar.com/kg/ontolandslide,Translational Rock Slide,,
Rockfall,Class,RockyLandslide,IS-A,,,,A fast-moving landslide where rocks fall freely from a cliff or slope.,http://www.theworldavatar.com/kg/ontolandslide,Rockfall,,
RockyLandslide,Class,Landslide,IS-A,,,,A type of landslide where rocks dominate the mass movement.,http://www.theworldavatar.com/kg/ontolandslide,Rocky Landslide,,
DebrisAvalanche,Class,MixedLithologyLandslide,IS-A,,,,"A fast-moving, mixed-material landslide that includes a variety of debris and rock.",http://www.theworldavatar.com/kg/ontolandslide,Debris Avalanche,,
DebrisFlow,Class,MixedLithologyLandslide,IS-A,,,,A very fast landslide where loose debris flows down a slope with a high water content.,http://www.theworldavatar.com/kg/ontolandslide,Debris Flow,,
Slope/Soil/GeologicalLayer,Class,,,,,,Represents the geological or soil layers where landslides occur.,http://www.theworldavatar.com/kg/ontolandslide,Slope / Soil / Geological Layer,,
WaterContent,Class,,,,,,"The amount of water present in a material, influencing the type and speed of landslides.",http://www.theworldavatar.com/kg/ontolandslide,Water Content,,
MixedLithologyLandslide,Class,Landslide,IS-A,,,,"A landslide involving a mixture of different types of materials, such as rocks and soil.",http://www.theworldavatar.com/kg/ontolandslide,Mixed Lithology Landslide,,
Response,Class,,,,,,Actions or measures taken in reaction to a landslide event.,http://www.theworldavatar.com/kg/ontolandslide,Response,,
ResponseAction,Class,,,,,,Specific measures taken to mitigate or manage a landslide event.,http://www.theworldavatar.com/kg/ontolandslide,Response Action,,
ResponseDepartment,Class,,,,,,A department or agency responsible for coordinating landslide response actions.,http://www.theworldavatar.com/kg/ontolandslide,Response Department,,
