item,itemLabel
http://www.wikidata.org/entity/Q156,alcohols
http://www.wikidata.org/entity/Q7430,DNA
http://www.wikidata.org/entity/Q8066,amino acid
http://www.wikidata.org/entity/Q11053,RNA
http://www.wikidata.org/entity/Q11358,carbohydrate
http://www.wikidata.org/entity/Q12370,salt
http://www.wikidata.org/entity/Q28351,deoxyribonucleoside
http://www.wikidata.org/entity/Q28734,nucleoside
http://www.wikidata.org/entity/Q28745,nucleotides
http://www.wikidata.org/entity/Q28751,deoxyribonucleotide
http://www.wikidata.org/entity/Q29290,silver halide
http://www.wikidata.org/entity/Q32418,sugar ester
http://www.wikidata.org/entity/Q32528,monoterpene
http://www.wikidata.org/entity/Q34402,ribonucleoside
http://www.wikidata.org/entity/Q41581,alkane
http://www.wikidata.org/entity/Q41873,β-lactam
http://www.wikidata.org/entity/Q43648,hydrocarbon
http://www.wikidata.org/entity/Q50690,oxide
http://www.wikidata.org/entity/Q53844,glycol ethers
http://www.wikidata.org/entity/Q59078,lactone
http://www.wikidata.org/entity/Q59447,diterpene
http://www.wikidata.org/entity/Q61476,fatty acid
http://www.wikidata.org/entity/Q65235,vanilloids
http://www.wikidata.org/entity/Q65384,isovanilloids
http://www.wikidata.org/entity/Q66194,cyclic compound
http://www.wikidata.org/entity/Q66392,binary compound
http://www.wikidata.org/entity/Q80218,sesquiterpene
http://www.wikidata.org/entity/Q80756,polynucleotide
http://www.wikidata.org/entity/Q81043,Polysulfide
http://www.wikidata.org/entity/Q81406,alkene
http://www.wikidata.org/entity/Q101487,ester
http://www.wikidata.org/entity/Q101497,aldehydes
http://www.wikidata.org/entity/Q103230,ethers
http://www.wikidata.org/entity/Q106520,hydride
http://www.wikidata.org/entity/Q107429,peroxide
http://www.wikidata.org/entity/Q117973,nucleotide sugar
http://www.wikidata.org/entity/Q123619,nucleic acid
http://www.wikidata.org/entity/Q127488,trihalomethane
http://www.wikidata.org/entity/Q127611,borane
http://www.wikidata.org/entity/Q133516,monosaccharide
http://www.wikidata.org/entity/Q134219,polysaccharides
http://www.wikidata.org/entity/Q134856,carboxylic acid
http://www.wikidata.org/entity/Q137154,galactoside
http://www.wikidata.org/entity/Q137173,glucoside
http://www.wikidata.org/entity/Q137786,glucuronide
http://www.wikidata.org/entity/Q139660,Secosteroid
http://www.wikidata.org/entity/Q142698,nitrofuran
http://www.wikidata.org/entity/Q143623,sterol
http://www.wikidata.org/entity/Q146339,polyvinyl alcohol
http://www.wikidata.org/entity/Q155368,alicyclic compound
http://www.wikidata.org/entity/Q159226,alkyne
http://www.wikidata.org/entity/Q161466,Diglyceride
http://www.wikidata.org/entity/Q167198,amine
http://www.wikidata.org/entity/Q170744,ketone
http://www.wikidata.org/entity/Q172847,peptide
http://www.wikidata.org/entity/Q173600,disaccharide
http://www.wikidata.org/entity/Q174211,organic compound
http://www.wikidata.org/entity/Q177911,steroid
http://www.wikidata.org/entity/Q181466,amine oxide
http://www.wikidata.org/entity/Q181699,carbonate
http://www.wikidata.org/entity/Q182738,oxime
http://www.wikidata.org/entity/Q182808,galactans
http://www.wikidata.org/entity/Q186319,triglyceride
http://www.wikidata.org/entity/Q186915,phospholipids
http://www.wikidata.org/entity/Q187126,glycoprotein
http://www.wikidata.org/entity/Q188245,polyester
http://www.wikidata.org/entity/Q188777,amide
http://www.wikidata.org/entity/Q188862,cycloalkane
http://www.wikidata.org/entity/Q190065,inorganic compound
http://www.wikidata.org/entity/Q190156,carotene
http://www.wikidata.org/entity/Q190527,alum
http://www.wikidata.org/entity/Q191756,omega-3 fatty acid
http://www.wikidata.org/entity/Q191907,carotenoid
http://www.wikidata.org/entity/Q191978,Dextrin
http://www.wikidata.org/entity/Q192596,aliphatic compound
http://www.wikidata.org/entity/Q192639,glycoside
http://www.wikidata.org/entity/Q192678,diene
http://www.wikidata.org/entity/Q193086,halide
http://www.wikidata.org/entity/Q193430,heterocyclic compound
http://www.wikidata.org/entity/Q202043,hexosamines
http://www.wikidata.org/entity/Q204869,Organozinc compound
http://www.wikidata.org/entity/Q205654,pentose
http://www.wikidata.org/entity/Q206920,peptidoglycan
http://www.wikidata.org/entity/Q207653,Saponin
http://www.wikidata.org/entity/Q209717,prostaglandins
http://www.wikidata.org/entity/Q212364,terpene
http://www.wikidata.org/entity/Q212527,acetate
http://www.wikidata.org/entity/Q216208,xanthophylls
http://www.wikidata.org/entity/Q220410,thiol
http://www.wikidata.org/entity/Q221205,sulfide
http://www.wikidata.org/entity/Q222174,flavonoid
http://www.wikidata.org/entity/Q225972,bicyclic compound
http://www.wikidata.org/entity/Q228106,sugar acid
http://www.wikidata.org/entity/Q230731,aromatic hydrocarbon
http://www.wikidata.org/entity/Q238156,coordination complex
http://www.wikidata.org/entity/Q241906,carbide
http://www.wikidata.org/entity/Q245115,zwitterion
http://www.wikidata.org/entity/Q248976,cycloalkyne
http://www.wikidata.org/entity/Q250437,sulfonic acid
http://www.wikidata.org/entity/Q251124,lactam
http://www.wikidata.org/entity/Q253817,organic peroxide
http://www.wikidata.org/entity/Q261310,Inclusion compound
http://www.wikidata.org/entity/Q262183,leucoanthocyanidin
http://www.wikidata.org/entity/Q262547,anthocyanins
http://www.wikidata.org/entity/Q266595,diamino acid
http://www.wikidata.org/entity/Q271663,catecholamines
http://www.wikidata.org/entity/Q276843,nitroso compound
http://www.wikidata.org/entity/Q277629,double salt
http://www.wikidata.org/entity/Q278540,alkoxide
http://www.wikidata.org/entity/Q282677,osazone
http://www.wikidata.org/entity/Q290439,polyphenol
http://www.wikidata.org/entity/Q291063,episulfide
http://www.wikidata.org/entity/Q305963,Omega-9 fatty acid
http://www.wikidata.org/entity/Q306156,Enone
http://www.wikidata.org/entity/Q306246,omega-6 fatty acid
http://www.wikidata.org/entity/Q312085,Iron-sulfur cluster
http://www.wikidata.org/entity/Q320607,oligosaccharide
http://www.wikidata.org/entity/Q322251,azo compounds
http://www.wikidata.org/entity/Q331818,gibberellin
http://www.wikidata.org/entity/Q333936,nitrile
http://www.wikidata.org/entity/Q339725,hexose
http://www.wikidata.org/entity/Q343016,acrylate
http://www.wikidata.org/entity/Q344942,acyclic compound
http://www.wikidata.org/entity/Q345024,acyloin
http://www.wikidata.org/entity/Q349735,lactate
http://www.wikidata.org/entity/Q355518,carboxylate ester
http://www.wikidata.org/entity/Q355679,carboxamides
http://www.wikidata.org/entity/Q368158,ketene
http://www.wikidata.org/entity/Q378871,fatty alcohol
http://www.wikidata.org/entity/Q387914,organohalogen compound
http://www.wikidata.org/entity/Q389172,cyclic peptide
http://www.wikidata.org/entity/Q391433,Mannich base
http://www.wikidata.org/entity/Q407142,phenols
http://www.wikidata.org/entity/Q407212,polycyclic aromatic hydrocarbons
http://www.wikidata.org/entity/Q407553,glycosaminoglycan
http://www.wikidata.org/entity/Q407627,azide
http://www.wikidata.org/entity/Q407650,phthalate
http://www.wikidata.org/entity/Q407758,glyceride
http://www.wikidata.org/entity/Q407944,imide
http://www.wikidata.org/entity/Q407976,proteoglycan
